Feature,Type,Value
HighBP,Importance,1.0
AnyHealthcare,Importance,0.0
BMI,Importance,0.0
CholCheck,Importance,0.0
Age,Importance,0.0
DiffWalk,Importance,0.0
Education,Importance,0.0
GenHlth,Importance,0.0
Fruits,Importance,0.0
HeartDiseaseorAttack,Importance,0.0
HighChol,Importance,0.0
HvyAlcoholConsump,Importance,0.0
Income,Importance,0.0
MentHlth,Importance,0.0
NoDocbcCost,Importance,0.0
PhysActivity,Importance,0.0
PhysHlth,Importance,0.0
Sex,Importance,0.0
Smoker,Importance,0.0
Stroke,Importance,0.0
Veggies,Importance,0.0
