Model,Parameter,Setting,Accuracy,Precision,Recall,F1,ROC-AUC,Confusion Matrix
Decision Tree,max_depth,3,0.6425299590034689,0.28135122512048094,0.8121927755622652,0.41760092606167365,0.774046999997295,"[[130528  83175]
 [  7508  32469]]"
Random Forest,max_depth,6,0.7164774519079156,0.3299330481943025,0.7751206716554024,0.4628471465499066,0.8149415415681874,"[[150769  62934]
 [  8990  30987]]"
Decision Tree,max_depth,9,0.711825922421949,0.3257331864330145,0.7740448398057691,0.45848843858753396,0.8112127477255076,"[[149632  64071]
 [  9033  30944]]"
Random Forest,max_depth,9,0.7245348470514034,0.3368687635253683,0.7722190864037397,0.46909116171441967,0.8205696466543155,"[[152929  60774]
 [  9106  30871]]"
Random Forest,max_depth,3,0.711486912645853,0.32399102578946687,0.7644644992915469,0.4550906567735975,0.8064342468888726,"[[149929  63774]
 [  9416  30561]]"
Logistic Regression,max_iter,1000,0.7292376222011984,0.33971870154552286,0.760962535676844,0.4697239452005138,0.81771669328679,"[[154572  59131]
 [  9556  30421]]"
Decision Tree,max_depth,6,0.7167100283822138,0.3276154762434532,0.752183634030899,0.4559415230923194,0.8067637574794325,"[[151745  61958]
 [  9907  30070]]"
